year,dates,top_12_gross,top_12_change_lw,total_gross,total_change_lw,total_movies,top_movie,week_num,inflation_adj_total_gross
1999,Dec. 31ÐJan. 6,143004506,-35.50%,161598334,-32.40%,55,Stuart Little,53,263405284.4
1999,Dec. 24Ð30,221721139,62.20%,238921917,60.30%,56,Stuart Little,52,389442724.7
1999,Dec. 17Ð23,136679498,49.60%,149009815,48.10%,52,Stuart Little,51,242885998.5
1999,Dec. 10Ð16,91341696,3.90%,100597301,1.30%,55,Green Mile,50,163973600.6
1999,Dec. 3Ð9,87901143,-49.00%,99294909,-47.40%,60,Toy Story 2,49,161850701.7
1999,Nov. 26ÐDec. 2,172286906,-4.20%,188810023,-7.30%,57,Toy Story 2,48,307760337.5
1999,Nov. 19Ð25,179784976,66.60%,203724346,56.30%,59,World Is Not Enough,47,332070684
1999,Nov. 12Ð18,107924990,5.40%,130385765,2.60%,54,Pokemon 1,46,212528797
1999,Nov. 5Ð11,102413033,40.40%,127048569,40.30%,59,Bone Collector,45,207089167.5
1999,Oct. 29ÐNov. 4,72944291,-10.60%,90569340,-8.40%,61,House on Haunted Hill,44,147628024.2
1999,Oct. 22Ð28,81611407,-11.60%,98914271,-5.90%,56,Best Man,43,161230261.7
1999,Oct. 15Ð21,92310588,-12.00%,105068404,-10.50%,56,Fight Club,42,171261498.5
1999,Oct. 8Ð14,104855103,5.30%,117426556,5.30%,57,Double Jeopardy,41,191405286.3
1999,Oct. 1Ð7,99602916,8.00%,111497757,8.30%,54,Double Jeopardy,40,181741343.9
1999,Sep. 24Ð30,92257879,5.10%,102933194,1.10%,48,Double Jeopardy,39,167781106.2
1999,Sep. 17Ð23,87747551,5.70%,101832096,-1.70%,56,Blue Streak,38,165986316.5
1999,Sep. 10Ð16,83017790,-4.70%,103594298,-7.70%,61,Stigmata,37,168858705.7
1999,Sep. 3Ð9,87069644,-26.50%,112242759,-25.70%,53,Sixth Sense,36,182955697.2
1999,Aug. 27ÐSep. 2,118495860,-7.70%,151100307,-2.40%,59,Sixth Sense,35,246293500.4
1999,Aug. 20Ð26,128438184,-22.60%,154872334,-18.90%,62,Sixth Sense,34,252441904.4
1999,Aug. 13Ð19,165827233,-21.00%,191036808,-19.00%,63,Sixth Sense,33,311389997
1999,Aug. 6Ð12,209975281,-2.10%,235727414,-3.10%,58,Sixth Sense,32,384235684.8
1999,Jul. 30ÐAug. 5,214574153,25.90%,243303228,15.10%,59,Runaway Bride,31,396584261.6
1999,Jul. 23Ð29,170440644,6.00%,211386548,12.30%,62,The Haunting,30,344560073.2
1999,Jul. 16Ð22,160796947,-3.00%,188320035,3.90%,56,Eyes Wide Shut,29,306961657.1
1999,Jul. 9Ð15,165698915,-11.60%,181312216,-9.30%,63,American Pie,28,295538912.1
1999,Jul. 2Ð8,187416611,-19.50%,199922943,-19.70%,60,Wild Wild West,27,325874397.1
1999,Jun. 25ÐJul. 1,232833083,23.60%,249040144,25.20%,60,Big Daddy,26,405935434.7
1999,Jun. 18Ð24,188457888,12.60%,198931902,10.50%,55,Tarzan,25,324259000.3
1999,Jun. 11Ð17,167387338,44.30%,179993217,40.00%,58,The Spy Who Shagged Me,24,293388943.7
1999,Jun. 4Ð10,115984178,-29.40%,128536028,-27.20%,60,The Phantom Menace,23,209513725.6
1999,May 28ÐJun. 3,164212226,9.20%,176458640,9.50%,53,The Phantom Menace,22,287627583.2
1999,May 21Ð27,150358357,28.80%,161093241,23.90%,55,The Phantom Menace,21,262581982.8
1999,May 14Ð20,116712605,16.70%,129985700,16.20%,58,The Phantom Menace,20,211876691
1999,May 7Ð13,99974205,51.80%,111822701,41.20%,55,The Mummy,19,182271002.6
1999,Apr. 30ÐMay6,65881841,2.40%,79197155,-1.70%,57,Entrapment,18,129091362.7
1999,Apr. 23Ð29,64347866,-28.00%,80586443,-23.40%,58,The Matrix,17,131355902.1
1999,Apr. 16Ð22,89321242,1.00%,105265573,-1.90%,55,Life,16,171582884
1999,Apr. 9Ð15,88429706,-20.30%,107297991,-17.20%,56,The Matrix,15,174895725.3
1999,Apr. 2Ð8,110898347,31.40%,129627428,16.90%,58,The Matrix,14,211292707.6
1999,Mar. 26ÐApr. 1,84386100,7.40%,110881838,7.80%,55,Forces of Nature,13,180737395.9
1999,Mar. 19Ð25,78577991,-13.20%,102884430,-10.60%,56,Forces of Nature,12,167701620.9
1999,Mar. 12Ð18,90535554,0.10%,115029865,3.90%,57,Analyze This,11,187498680
1999,Mar. 5Ð11,90464522,13.70%,110768620,9.50%,57,Analyze This,10,180552850.6
1999,Feb. 26ÐMar. 4,79584040,1.10%,101184266,-0.90%,54,8MM,9,164930353.6
1999,Feb. 19Ð25,78726541,-29.20%,102132309,-25.50%,51,Message in a Bottle,8,166475663.7
1999,Feb. 12Ð18,111264893,44.00%,137054663,33.50%,59,Message in a Bottle,7,223399100.7
1999,Feb. 5Ð11,77296154,10.30%,102682354,11.60%,54,Payback,6,167372237
1999,Jan. 29ÐFeb. 4,70083402,-11.40%,92037443,-13.90%,58,She's All That,5,150021032.1
1999,Jan. 22Ð28,79117789,-32.90%,106871043,-26.60%,58,Varsity Blues,4,174199800.1
1999,Jan. 15Ð21,117888379,22.60%,145543580,29.20%,54,Varsity Blues,3,237236035.4
1999,Jan. 8Ð14,96142989,-25.30%,112696485,-25.50%,50,A Civil Action,2,183695270.6
1999,Jan. 1Ð7,128701553,-49.20%,151287903,-43.10%,56,Patch Adams,1,246599281.9
2000,Dec. 29ÐJan. 4,203392936,-22.20%,233483221,-19.10%,57,Cast Away,52,359564160.3
2000,Dec. 22Ð28,261440193,82.40%,288450694,88.10%,59,Cast Away,51,444214068.8
2000,Dec. 15Ð21,143355006,41.70%,153328832,39.20%,45,What Women Want,50,236126401.3
2000,Dec. 8Ð14,101162882,0.90%,110120569,1.60%,53,The Grinch,49,169585676.3
2000,Dec. 1Ð7,100255310,-48.30%,108366192,-47.30%,51,The Grinch,48,166883935.7
2000,Nov. 24Ð30,193811653,-21.30%,205508560,-22.70%,56,The Grinch,47,316483182.4
2000,Nov. 17Ð23,246282699,109.40%,265939956,107.40%,58,The Grinch,46,409547532.2
2000,Nov. 10Ð16,117641377,-2.00%,128217358,-2.60%,54,Charlie's Angels,45,197454731.3
2000,Nov. 3Ð9,120089266,34.60%,131649454,28.00%,59,Charlie's Angels,44,202740159.2
2000,Oct. 27ÐNov. 2,89220332,-0.40%,102848126,0.50%,66,Meet the Parents,43,158386114
2000,Oct. 20Ð26,89584709,-4.80%,102362706,-3.90%,61,Meet the Parents,42,157638567.2
2000,Oct. 13Ð19,94142519,-4.90%,106498755,-6.90%,57,Meet the Parents,41,164008082.7
2000,Oct. 6Ð12,98952272,47.90%,114415040,38.40%,58,Meet the Parents,40,176199161.6
2000,Sep. 29ÐOct. 5,66901482,11.90%,82674073,5.10%,55,Remember the Titans,39,127318072.4
2000,Sep. 22Ð28,59764244,23.40%,78629799,13.80%,60,Exorcist Director's Cut,38,121089890.5
2000,Sep. 15Ð21,48448412,-14.80%,69074908,-10.20%,64,The Watcher,37,106375358.3
2000,Sep. 8Ð14,56890613,-33.70%,76947488,-35.40%,59,The Watcher,36,118499131.5
2000,Sep. 1Ð7,85811115,-15.30%,119075960,-4.00%,60,Bring It On,35,183376978.4
2000,Aug. 25Ð31,101268749,-16.10%,124027512,-12.30%,60,Bring It On,34,191002368.5
2000,Aug. 18Ð24,120682537,-13.60%,141411746,-11.60%,64,The Cell,33,217774088.8
2000,Aug. 11Ð17,139597534,-19.80%,159925000,-16.30%,66,Hollow Man,32,246284500
2000,Aug. 4Ð10,174004517,-2.90%,190996874,-1.70%,64,Hollow Man,31,294135186
2000,Jul. 28ÐAug. 3,179220386,-7.10%,194226580,-8.70%,58,The Klumps,30,299108933.2
2000,Jul. 21Ð27,192854611,-7.70%,212627599,-4.70%,69,What Lies Beneath,29,327446502.5
2000,Jul. 14Ð20,208827626,3.70%,223061116,4.40%,69,X-Men,28,343514118.6
2000,Jul. 7Ð13,201389473,-10.00%,213615565,-10.90%,71,Scary Movie,27,328967970.1
2000,Jun. 30ÐJul. 6,223663602,46.10%,239732067,42.20%,66,Perfect Storm,26,369187383.2
2000,Jun. 23Ð29,153077560,7.50%,168576763,9.60%,59,"Me, Myself and Irene",25,259608215
2000,Jun. 16Ð22,142437301,6.40%,153808030,7.10%,60,Shaft,24,236864366.2
2000,Jun. 9Ð15,133884866,-1.80%,143602030,-2.10%,53,Gone in 60 Seconds,23,221147126.2
2000,Jun. 2Ð8,136336221,-32.40%,146653600,-32.70%,58,Mission: Impossible II,22,225846544
2000,May 26ÐJun. 1,201791147,32.60%,217816716,27.30%,61,Mission: Impossible II,21,335437742.6
2000,May 19Ð25,152193493,62.60%,171131342,50.90%,55,Dinosaur,20,263542266.7
2000,May 12Ð18,93601346,-10.60%,113422887,-3.90%,54,Gladiator,19,174671246
2000,May 5Ð11,104676831,22.00%,118034511,16.80%,53,Gladiator,18,181773146.9
2000,Apr. 28ÐMay4,85834276,-15.60%,101038470,-18.00%,53,U-571,17,155599243.8
2000,Apr. 21Ð27,101675941,4.80%,123191263,5.30%,57,U-571,16,189714545
2000,Apr. 14Ð20,96994938,3.80%,117033830,8.40%,55,Rules of Engagement,15,180232098.2
2000,Apr. 7Ð13,93427951,-3.70%,108007567,-5.40%,54,Rules of Engagement,14,166331653.2
2000,Mar. 31ÐApr. 6,97014161,-1.80%,114129245,-2.50%,57,Erin Brockovich,13,175759037.3
2000,Mar. 24Ð30,98806636,-3.60%,117052123,-7.80%,61,Erin Brockovich,12,180260269.4
